model_family,outcome,mae,rmse,r2,mae_ci95_low,mae_ci95_high
acoustic_only,aperiodic_exponent,0.7026190476190021,0.7085228479365787,-1.9288990825688077,0.08250000000000007,1.3085714285713375
modulation_only,aperiodic_exponent,0.05799642406394626,0.06390022438152287,-1.9288990825688077,0.019326181461225778,0.1080000000000001
legacy_v1,aperiodic_exponent,0.052719614921781156,0.05862341523935777,-1.9288990825688077,0.008772563176895565,0.1080000000000001
candidate_v2,aperiodic_exponent,0.06909839207417248,0.0750021923917491,-1.9288990825688077,0.04051003916055943,0.10830602349633574
acoustic_only,envelope_plv,0.8744047619047134,0.8817337090832823,-1.3629032258064515,0.07500000000000001,1.6621428571427603
modulation_only,envelope_plv,0.06518090029448885,0.07250984747305772,-1.3629032258064515,0.04123171130743702,0.0967390267844622
legacy_v1,envelope_plv,0.050373044524669106,0.05770199170323798,-1.3629032258064515,0.014079422382671541,0.096
candidate_v2,envelope_plv,0.05493391602477968,0.062262863203348555,-1.3629032258064515,0.023201165382892686,0.096
acoustic_only,assr_plv,0.911666666666618,0.9217332800851145,-0.6785714285714286,0.052500000000000005,1.7599999999999028
modulation_only,assr_plv,0.06757572570466974,0.07764233912316612,-0.6785714285714286,0.03727270602533538,0.08236362361520123
legacy_v1,assr_plv,0.04959085439229846,0.05965746781079484,-0.6785714285714286,0.025282791817087865,0.07516967509025271
candidate_v2,assr_plv,0.03312090932501792,0.0431875227435143,-0.6785714285714286,0.0029084853167025,0.07200000000000001
acoustic_only,vigilance_accuracy,0.24360119047617154,0.24576295471080215,-2.578947368421052,0.040000000000000036,0.44053571428567634
modulation_only,vigilance_accuracy,0.024696746599354984,0.026858510833985577,-2.578947368421052,0.0027268265320432583,0.052000000000000046
legacy_v1,vigilance_accuracy,0.023983152827918224,0.026144917062548817,-2.578947368421052,0.001299638989169738,0.052000000000000046
candidate_v2,vigilance_accuracy,0.03645236437933079,0.03861412861396138,-2.578947368421052,0.022079354030664966,0.05324761241839902
acoustic_only,reaction_time_ms,147.88690476189308,149.3858630545331,-1.856038291605302,19.75,272.10714285711947
modulation_only,reaction_time_ms,13.421434581405142,14.920392874045191,-1.856038291605302,3.176202496143617,26.8
legacy_v1,reaction_time_ms,13.531889290012051,15.0308475826521,-1.856038291605302,3.397111913357435,26.8
candidate_v2,reaction_time_ms,17.399269425952035,18.898227718592082,-1.856038291605302,9.043957395079133,27.42637443704748
acoustic_only,comfort_rating,2.7360119047620284,2.7619462100223173,-3.5743243243243272,0.6000000000000005,4.705357142857389
modulation_only,comfort_rating,0.7739552657411306,0.7998895710014198,-3.5743243243243272,0.6000000000000005,0.9937479549385317
legacy_v1,comfort_rating,0.943441636582431,0.9693759418427201,-3.5743243243243272,0.6000000000000005,1.1202166064981949
candidate_v2,comfort_rating,0.755768228867874,0.7817025341281632,-3.5743243243243272,0.6000000000000005,0.981623263689694
acoustic_only,masking_effectiveness_rating,3.526785714285487,3.545115727552525,-5.3333333333333295,0.7250000000000003,6.253571428570974
modulation_only,masking_effectiveness_rating,0.5219920067311741,0.5403220199982119,-5.3333333333333295,0.24398401346234788,0.8600000000000005
legacy_v1,masking_effectiveness_rating,0.5324909747292421,0.55082098799628,-5.3333333333333295,0.26498194945848397,0.8600000000000005
candidate_v2,masking_effectiveness_rating,0.6690994204531842,0.687429433720222,-5.3333333333333295,0.5127329469687893,0.8676397681812741
