evaluation_set,fold_id,model_family,outcome,train_rows_total,train_rows_kept,train_dropped_missing_feature,train_dropped_missing_outcome,test_rows_total,test_rows_kept,test_dropped_missing_feature,test_dropped_missing_outcome
cv,fold_0,acoustic_only,aperiodic_exponent,1,1,0,0,3,3,0,0
cv,fold_1,acoustic_only,aperiodic_exponent,3,3,0,0,1,1,0,0
cv,fold_0,modulation_only,aperiodic_exponent,1,1,0,0,3,3,0,0
cv,fold_1,modulation_only,aperiodic_exponent,3,3,0,0,1,1,0,0
cv,fold_0,legacy_v1,aperiodic_exponent,1,1,0,0,3,3,0,0
cv,fold_1,legacy_v1,aperiodic_exponent,3,3,0,0,1,1,0,0
cv,fold_0,candidate_v2,aperiodic_exponent,1,0,1,0,3,1,2,0
cv,fold_1,candidate_v2,aperiodic_exponent,3,1,2,0,1,0,1,0
cv,fold_0,acoustic_only,aperiodic_offset,1,1,0,0,3,3,0,0
cv,fold_1,acoustic_only,aperiodic_offset,3,3,0,0,1,1,0,0
cv,fold_0,modulation_only,aperiodic_offset,1,1,0,0,3,3,0,0
cv,fold_1,modulation_only,aperiodic_offset,3,3,0,0,1,1,0,0
cv,fold_0,legacy_v1,aperiodic_offset,1,1,0,0,3,3,0,0
cv,fold_1,legacy_v1,aperiodic_offset,3,3,0,0,1,1,0,0
cv,fold_0,candidate_v2,aperiodic_offset,1,0,1,0,3,1,2,0
cv,fold_1,candidate_v2,aperiodic_offset,3,1,2,0,1,0,1,0
cv,fold_0,acoustic_only,envelope_plv,1,1,0,0,3,3,0,0
cv,fold_1,acoustic_only,envelope_plv,3,3,0,0,1,1,0,0
cv,fold_0,modulation_only,envelope_plv,1,1,0,0,3,3,0,0
cv,fold_1,modulation_only,envelope_plv,3,3,0,0,1,1,0,0
cv,fold_0,legacy_v1,envelope_plv,1,1,0,0,3,3,0,0
cv,fold_1,legacy_v1,envelope_plv,3,3,0,0,1,1,0,0
cv,fold_0,candidate_v2,envelope_plv,1,0,1,0,3,1,2,0
cv,fold_1,candidate_v2,envelope_plv,3,1,2,0,1,0,1,0
cv,fold_0,acoustic_only,assr_plv,1,1,0,0,3,3,0,0
cv,fold_1,acoustic_only,assr_plv,3,3,0,0,1,1,0,0
cv,fold_0,modulation_only,assr_plv,1,1,0,0,3,3,0,0
cv,fold_1,modulation_only,assr_plv,3,3,0,0,1,1,0,0
cv,fold_0,legacy_v1,assr_plv,1,1,0,0,3,3,0,0
cv,fold_1,legacy_v1,assr_plv,3,3,0,0,1,1,0,0
cv,fold_0,candidate_v2,assr_plv,1,0,1,0,3,1,2,0
cv,fold_1,candidate_v2,assr_plv,3,1,2,0,1,0,1,0
cv,fold_0,acoustic_only,alpha_peak_frequency_hz,1,1,0,0,3,3,0,0
cv,fold_1,acoustic_only,alpha_peak_frequency_hz,3,3,0,0,1,1,0,0
cv,fold_0,modulation_only,alpha_peak_frequency_hz,1,1,0,0,3,3,0,0
cv,fold_1,modulation_only,alpha_peak_frequency_hz,3,3,0,0,1,1,0,0
cv,fold_0,legacy_v1,alpha_peak_frequency_hz,1,1,0,0,3,3,0,0
cv,fold_1,legacy_v1,alpha_peak_frequency_hz,3,3,0,0,1,1,0,0
cv,fold_0,candidate_v2,alpha_peak_frequency_hz,1,0,1,0,3,1,2,0
cv,fold_1,candidate_v2,alpha_peak_frequency_hz,3,1,2,0,1,0,1,0
cv,fold_0,acoustic_only,alpha_asymmetry,1,1,0,0,3,3,0,0
cv,fold_1,acoustic_only,alpha_asymmetry,3,3,0,0,1,1,0,0
cv,fold_0,modulation_only,alpha_asymmetry,1,1,0,0,3,3,0,0
cv,fold_1,modulation_only,alpha_asymmetry,3,3,0,0,1,1,0,0
cv,fold_0,legacy_v1,alpha_asymmetry,1,1,0,0,3,3,0,0
cv,fold_1,legacy_v1,alpha_asymmetry,3,3,0,0,1,1,0,0
cv,fold_0,candidate_v2,alpha_asymmetry,1,0,1,0,3,1,2,0
cv,fold_1,candidate_v2,alpha_asymmetry,3,1,2,0,1,0,1,0
cv,fold_0,acoustic_only,vigilance_accuracy,1,1,0,0,3,3,0,0
cv,fold_1,acoustic_only,vigilance_accuracy,3,3,0,0,1,1,0,0
cv,fold_0,modulation_only,vigilance_accuracy,1,1,0,0,3,3,0,0
cv,fold_1,modulation_only,vigilance_accuracy,3,3,0,0,1,1,0,0
cv,fold_0,legacy_v1,vigilance_accuracy,1,1,0,0,3,3,0,0
cv,fold_1,legacy_v1,vigilance_accuracy,3,3,0,0,1,1,0,0
cv,fold_0,candidate_v2,vigilance_accuracy,1,0,1,0,3,1,2,0
cv,fold_1,candidate_v2,vigilance_accuracy,3,1,2,0,1,0,1,0
cv,fold_0,acoustic_only,reaction_time_ms,1,1,0,0,3,3,0,0
cv,fold_1,acoustic_only,reaction_time_ms,3,3,0,0,1,1,0,0
