evaluation_set,model_family,outcome,mae,rmse,r2
cv,acoustic_only,aperiodic_exponent,0.16000000000000014,0.16000000000000014,0.0
cv,modulation_only,aperiodic_exponent,0.16000000000000014,0.16000000000000014,0.0
cv,legacy_v1,aperiodic_exponent,0.16000000000000014,0.16000000000000014,0.0
cv,acoustic_only,aperiodic_offset,0.05,0.05,0.0
cv,modulation_only,aperiodic_offset,0.05,0.05,0.0
cv,legacy_v1,aperiodic_offset,0.05,0.05,0.0
cv,acoustic_only,envelope_plv,0.16,0.16,0.0
cv,modulation_only,envelope_plv,0.16,0.16,0.0
cv,legacy_v1,envelope_plv,0.16,0.16,0.0
cv,acoustic_only,assr_plv,0.14,0.14,0.0
cv,modulation_only,assr_plv,0.14,0.14,0.0
cv,legacy_v1,assr_plv,0.14,0.14,0.0
cv,acoustic_only,alpha_peak_frequency_hz,0.40000000000000036,0.40000000000000036,0.0
cv,modulation_only,alpha_peak_frequency_hz,0.40000000000000036,0.40000000000000036,0.0
cv,legacy_v1,alpha_peak_frequency_hz,0.40000000000000036,0.40000000000000036,0.0
cv,acoustic_only,alpha_asymmetry,0.01,0.01,0.0
cv,modulation_only,alpha_asymmetry,0.01,0.01,0.0
cv,legacy_v1,alpha_asymmetry,0.01,0.01,0.0
cv,acoustic_only,vigilance_accuracy,0.07000000000000006,0.07000000000000006,0.0
cv,modulation_only,vigilance_accuracy,0.07000000000000006,0.07000000000000006,0.0
cv,legacy_v1,vigilance_accuracy,0.07000000000000006,0.07000000000000006,0.0
cv,acoustic_only,reaction_time_ms,38.0,38.0,0.0
cv,modulation_only,reaction_time_ms,38.0,38.0,0.0
cv,legacy_v1,reaction_time_ms,38.0,38.0,0.0
cv,acoustic_only,reaction_time_variability_ms,16.0,16.0,0.0
cv,modulation_only,reaction_time_variability_ms,16.0,16.0,0.0
cv,legacy_v1,reaction_time_variability_ms,16.0,16.0,0.0
cv,acoustic_only,comfort_rating,0.8000000000000007,0.8000000000000007,0.0
cv,modulation_only,comfort_rating,0.8000000000000007,0.8000000000000007,0.0
cv,legacy_v1,comfort_rating,0.8000000000000007,0.8000000000000007,0.0
cv,acoustic_only,irritation_rating,0.3999999999999999,0.3999999999999999,0.0
cv,modulation_only,irritation_rating,0.3999999999999999,0.3999999999999999,0.0
cv,legacy_v1,irritation_rating,0.3999999999999999,0.3999999999999999,0.0
cv,acoustic_only,masking_effectiveness_rating,1.1000000000000005,1.1000000000000005,0.0
cv,modulation_only,masking_effectiveness_rating,1.1000000000000005,1.1000000000000005,0.0
cv,legacy_v1,masking_effectiveness_rating,1.1000000000000005,1.1000000000000005,0.0
