g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49,g50,g51,g52,g53,g54,g55,g56,g57,g58,g59,g60,g61,g62,g63,g64,g65,g66,g67,g68,g69,g70,g71,g72,g73,g74,g75,g76,g77,g78,g79,g80,g81,g82,g83,g84,g85,g86,g87,g88,g89,g90,g91,g92,g93,g94,g95,g96,g97,g98,g99,g100,g101,g102,g103,g104,g105,g106,g107,g108,g109,g110,g111,g112,g113,g114,g115,g116,g117,g118,g119,g120,g121,g122,g123,g124,g125,g126,g127,g128,g129,g130,g131,g132,g133,g134,g135,g136,g137,g138,g139,g140,g141,g142,g143,g144,g145,g146,g147,g148,g149,g150,g151,g152,g153,g154,g155,g156,g157,g158,g159,g160,g161,g162,g163,g164,g165,g166,g167,g168,g169,g170,g171,g172,g173,g174,g175,g176,g177,g178,g179,g180,g181,g182,g183,g184,g185,g186,g187,g188,g189,goal_id,brain_type_id,assr,thalamic_gate,cet,phys_gate,score
0.800000,1.000000,4.000000,6.000000,0.500000,1.000000,1.000000,6.000000,2.000000,0.000000,1.500000,0.700000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,6.000000,-2.000000,0.000000,1.500000,0.700000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,6,0,1,1,0,0,0.447533
0.814310,1.000000,5.000000,6.000000,0.647270,1.000000,1.000000,6.000000,2.177809,0.339630,0.788374,0.797843,0.000000,0.000000,0.000000,0.110798,0.056689,0.000000,5.294587,0.052321,0.000000,0.000000,0.118358,0.254612,0.311774,1.218799,0.759407,0.000000,0.014673,1.000000,6.000000,-1.792664,0.174001,0.130705,0.555996,0.030916,0.000000,0.000000,0.127028,0.115055,1.000000,1.170376,0.000000,0.070081,0.000000,0.000000,0.000000,0.000000,1.010951,0.813729,0.019071,0.000000,0.000000,0.000000,0.396183,-0.028583,2.298576,0.000000,0.000000,0.000000,0.000000,0.083575,0.000000,0.000000,1.515373,0.047786,0.053239,0.000000,0.000000,0.300203,0.000000,1.029707,0.500000,0.000000,0.004432,0.000000,0.000000,-1.442046,-0.603080,2.189429,0.082279,0.000000,0.000000,0.000000,0.012901,0.016791,0.000000,4.481846,0.055321,0.050984,0.000000,0.606617,0.060876,0.000000,1.537571,0.500000,0.013359,0.023254,0.000000,0.000000,1.316027,-0.257737,1.656871,0.115089,0.000000,0.000000,0.000000,0.102617,0.000000,0.000000,3.532691,0.016097,0.000000,0.000000,0.034583,0.259153,0.000000,0.993249,0.500000,0.132213,0.067907,0.000000,0.000000,1.296494,0.554015,2.030194,0.072583,0.022955,0.000000,2.268970,0.000000,0.098697,0.000000,0.000000,0.023035,0.025537,0.000000,0.147174,0.019863,0.000000,0.834757,1.653704,0.000000,0.140801,0.000000,0.000000,0.264702,-0.236711,-0.072359,0.129399,0.000000,0.000000,0.000000,0.037793,0.000000,0.000000,4.416994,0.042553,0.000000,0.000000,0.000000,0.000000,0.391861,1.004107,0.659560,0.000000,0.000000,0.000000,0.000000,1.453520,0.380209,-0.240214,0.085147,0.000000,0.000000,0.000000,0.082577,0.025462,0.000000,5.940852,0.000000,0.023843,0.000000,0.000000,0.283319,0.809324,0.854384,1.176991,0.095888,0.005959,6,0,1,1,0,0,0.418923
0.705122,1.000000,4.000000,6.000000,0.470325,1.000000,1.000000,6.000000,0.668457,0.569893,2.199627,0.773294,0.012731,1.000000,0.000000,0.077227,0.069642,0.000000,1.082909,0.109126,0.096867,0.000000,0.000000,0.258077,0.625450,0.870628,1.431154,0.072796,0.025835,1.000000,5.000000,-1.231687,-0.567042,2.764013,0.728851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.719730,0.000000,0.000000,0.000000,0.661222,0.625546,0.371828,1.191479,0.500000,0.137178,0.000000,0.000000,0.000000,-1.376371,0.870500,1.494823,0.063377,0.000000,0.000000,0.185814,0.107983,0.000000,0.000000,0.000000,0.056183,0.000000,0.000000,0.636317,0.000000,0.570270,1.569777,1.223034,0.000000,0.000000,0.000000,0.000000,-0.120177,-0.262214,1.988852,0.147948,0.000000,0.000000,0.373130,0.000000,0.000000,0.000000,0.000000,0.138984,0.000000,1.000000,0.511684,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,1.236360,0.154439,-0.378495,0.110464,0.000000,0.000000,0.694340,0.000000,0.000000,0.000000,1.799319,0.082615,0.062838,0.000000,0.528958,0.690581,0.509490,0.737141,0.500000,0.000000,0.032282,0.000000,0.000000,0.204799,-0.230514,1.126393,0.000000,0.002294,0.000000,0.000000,0.079443,0.069812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.135399,0.443791,1.599269,0.663245,0.000000,0.000000,0.000000,0.000000,0.370441,0.473619,0.146448,0.145291,0.000000,0.000000,3.792914,0.036933,0.078056,0.000000,0.000000,0.000000,0.001321,0.000000,0.578970,0.000000,0.109117,0.738593,1.399566,0.019906,0.126407,0.000000,0.000000,-0.454383,0.161620,1.004942,0.000000,0.101505,0.000000,0.000000,0.000000,0.022650,0.000000,1.864783,0.000000,0.007564,0.000000,0.269509,0.000000,0.000000,0.991657,1.784611,0.000000,0.000000,6,0,1,1,0,0,0.426975
0.902378,1.000000,4.000000,6.000000,0.443047,1.000000,1.000000,6.000000,1.802084,0.650672,2.681926,0.648889,0.100726,0.000000,0.000000,0.061909,0.000000,0.000000,0.000000,0.091051,0.000000,0.000000,0.000000,0.000000,0.670749,1.189195,0.814807,0.000000,0.000000,1.000000,5.000000,-3.125978,-0.732099,2.532150,0.763267,0.225322,0.000000,4.332582,0.000000,0.000000,0.000000,3.828929,0.000000,0.000000,1.000000,0.000000,0.000000,0.052463,0.953671,0.500000,0.000000,0.113107,0.000000,0.000000,0.588286,0.628946,2.222041,0.006752,0.000000,0.000000,3.059795,0.023058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.482176,0.510633,1.129541,1.494098,0.000000,0.000000,0.000000,0.000000,0.995891,-0.375709,2.097081,0.100710,0.000000,0.000000,1.234252,0.000000,0.090560,0.000000,0.000000,0.011907,0.000000,1.000000,0.174155,0.000000,0.585515,0.732105,0.981357,0.000000,0.000000,0.000000,0.000000,-0.750350,0.160612,1.419413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.537811,0.118232,0.112165,0.000000,0.741541,0.160052,0.000000,0.629078,1.035520,0.000000,0.000000,0.000000,0.000000,-1.052619,-0.247933,0.694939,0.000000,0.000000,0.000000,0.000000,0.000935,0.000000,0.000000,3.990718,0.000000,0.107004,0.000000,0.000000,0.156996,0.000000,0.500000,1.595921,0.103560,0.000000,0.000000,0.000000,1.163663,0.090013,2.356386,0.000000,0.041146,0.000000,3.971063,0.000000,0.091706,0.000000,0.000000,0.067828,0.000000,0.000000,0.402674,0.213465,0.000000,0.811912,0.702069,0.000000,0.000000,0.000000,0.000000,-0.249230,-0.474189,-0.313676,0.091384,0.000000,0.000000,0.000000,0.000000,0.090855,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.532149,0.936214,0.533217,1.749951,0.145339,0.098680,6,0,1,1,0,0,0.318455
0.878440,1.000000,4.000000,6.000000,0.512690,1.000000,1.000000,6.000000,0.946199,-0.191924,2.731005,0.806780,0.191590,0.000000,5.042131,0.001910,0.085152,0.000000,5.459174,0.000000,0.019343,0.000000,0.000000,0.575131,0.000000,1.556327,1.634183,0.000000,0.000000,1.000000,6.000000,-3.166577,-0.099789,1.207129,0.759821,0.230741,0.000000,3.231932,0.085619,0.000000,1.000000,2.318990,0.037800,0.105517,0.000000,0.133182,0.000000,0.124399,1.602931,1.120849,0.008958,0.000000,0.000000,0.000000,-0.994386,0.745000,1.667870,0.000000,0.000000,0.000000,0.616532,0.126899,0.000000,1.000000,4.331303,0.000000,0.079940,1.000000,0.263981,0.000000,0.000000,0.500000,0.799909,0.000000,0.000000,0.000000,0.000000,1.392896,-0.271924,2.309723,0.051423,0.105803,0.000000,0.000000,0.080059,0.000000,0.000000,0.000000,0.053895,0.021907,0.000000,0.000000,0.000000,0.000000,1.192827,0.669266,0.000000,0.000000,0.000000,0.000000,-0.383976,-0.284713,0.192767,0.000000,0.134037,0.000000,0.000000,0.033901,0.017691,0.000000,0.138195,0.000000,0.119650,0.000000,0.131022,0.000000,0.549892,1.082265,0.970739,0.000000,0.000000,0.000000,0.000000,-1.304637,-0.345591,1.785488,0.101029,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.107018,0.543135,1.424081,0.000000,0.033880,0.000000,1.000000,-0.429894,0.350487,1.204762,0.000000,0.059348,0.000000,0.000000,0.116034,0.000000,0.000000,0.000000,0.125874,0.103046,0.000000,0.571969,0.214949,0.908785,0.784622,1.613432,0.000000,0.000000,0.000000,0.000000,-0.045644,0.122021,-0.180387,0.048345,0.120498,0.000000,0.000000,0.050870,0.019850,0.000000,0.000000,0.146001,0.000000,1.000000,0.134168,0.000000,0.743715,1.028511,1.385353,0.000000,0.000000,6,0,1,1,0,0,0.418758
0.684804,1.000000,3.000000,5.000000,0.588346,0.000000,1.000000,6.000000,2.330025,0.006852,2.882252,0.720917,0.000000,0.000000,0.567989,0.000000,0.000000,0.000000,0.000000,0.033600,0.000000,1.000000,0.000000,0.000000,0.193540,1.232628,0.885921,0.007708,0.147870,1.000000,6.000000,-1.327567,-0.037753,1.400954,0.591075,0.226971,0.000000,0.000000,0.000000,0.072424,0.000000,0.000000,0.050909,0.000000,1.000000,0.145541,0.257772,0.000000,0.833392,1.220350,0.000000,0.125511,0.000000,0.000000,-1.080200,-0.505859,2.412825,0.075332,0.000000,0.000000,1.752517,0.000000,0.004297,0.000000,0.000000,0.000000,0.058208,0.000000,0.000000,0.000000,0.812221,0.500000,0.914396,0.000000,0.016038,0.000000,0.000000,-0.589915,-0.132256,-0.349579,0.110481,0.000000,0.000000,0.000000,0.147241,0.100664,1.000000,4.304919,0.136947,0.081179,0.000000,0.000000,0.461483,0.000000,0.756280,1.323382,0.000000,0.125103,0.000000,0.000000,1.223700,0.753273,-0.276988,0.011065,0.110090,0.000000,0.000000,0.000000,0.001271,0.000000,0.000000,0.000000,0.000000,0.000000,0.433434,0.000000,0.000000,0.890978,0.500000,0.000000,0.000000,0.000000,1.000000,-0.862167,0.537156,1.015561,0.095960,0.022778,0.000000,0.000000,0.143664,0.000000,0.000000,3.273518,0.000000,0.000000,0.000000,0.134483,0.000000,0.914535,0.885461,0.938216,0.000000,0.130855,0.000000,0.000000,0.190729,-0.808274,1.945586,0.003320,0.000000,0.000000,5.265979,0.072610,0.000000,0.000000,0.000000,0.000000,0.046290,1.000000,0.000000,0.025126,0.432271,0.939965,0.808025,0.000000,0.130289,0.000000,0.000000,0.630550,-0.885421,2.300328,0.060952,0.127256,0.000000,0.000000,0.000000,0.022892,0.000000,1.326984,0.071483,0.057870,0.000000,0.727328,0.000000,0.000000,1.299474,1.419945,0.000000,0.122599,6,0,1,1,0,0,0.294233
0.910451,1.000000,5.000000,6.000000,0.468579,1.000000,1.000000,6.000000,0.982376,0.075476,0.535689,0.692200,0.073809,0.000000,5.395006,0.014809,0.000000,0.000000,4.027799,0.000000,0.060390,0.000000,0.685412,0.717729,0.122182,0.833528,1.733860,0.112807,0.007307,1.000000,6.000000,-0.657230,-0.540272,2.195372,0.637329,0.066574,0.000000,3.414983,0.000000,0.000000,0.000000,0.000000,0.000000,0.021967,1.000000,0.362701,0.522648,0.000000,1.520884,0.696655,0.000000,0.000000,0.000000,0.000000,0.086422,0.813929,1.474985,0.000000,0.000000,0.000000,0.538333,0.032660,0.000000,0.000000,3.692106,0.131013,0.000000,0.000000,0.026906,0.000000,0.000000,0.928534,1.339004,0.000000,0.000000,0.000000,0.000000,-0.090559,-0.008620,2.459958,0.124019,0.000000,1.000000,0.000000,0.000000,0.118540,1.000000,0.000000,0.011120,0.000000,0.000000,0.442897,0.356807,0.065200,0.518946,1.111194,0.067376,0.000000,0.000000,1.000000,-1.123565,0.628281,0.742673,0.000000,0.020651,0.000000,0.000000,0.142298,0.087096,0.000000,0.000000,0.002412,0.060897,0.000000,0.000000,0.153335,0.511881,1.589439,0.732346,0.000000,0.000000,0.000000,0.000000,-0.381055,0.084466,0.912887,0.000000,0.000000,0.000000,0.000000,0.000000,0.010726,1.000000,0.000000,0.131490,0.000000,0.000000,0.649414,0.000000,0.113778,1.534382,0.692489,0.000000,0.089004,0.000000,0.000000,-0.701295,0.011802,1.457743,0.148236,0.000000,0.000000,0.000000,0.103220,0.000000,0.000000,0.000000,0.000000,0.060620,0.000000,0.060274,0.000000,0.264099,1.550428,1.355637,0.000000,0.050043,0.000000,0.000000,0.614547,-0.059909,2.458538,0.006493,0.037952,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.247538,0.000000,0.000000,0.891064,0.500000,0.000000,0.149936,6,0,1,1,0,0,0.440181
0.779428,1.000000,3.000000,6.000000,0.561587,1.000000,1.000000,6.000000,3.343051,0.349578,2.059094,0.645464,0.016131,0.000000,1.942444,0.000000,0.103577,1.000000,1.589160,0.118818,0.114239,0.000000,0.424756,0.177912,0.000000,0.771005,1.802638,0.149435,0.000000,1.000000,5.000000,-0.568296,-0.651441,2.929337,0.810382,0.186352,0.000000,0.000000,0.000000,0.000000,0.000000,0.662399,0.064143,0.042058,1.000000,0.000000,0.000000,0.000000,1.629864,0.641263,0.112870,0.069965,0.000000,0.000000,0.728297,0.821783,0.095539,0.013017,0.000000,1.000000,1.835572,0.000000,0.000000,0.000000,0.000000,0.000000,0.045382,0.000000,0.000000,0.677546,0.429911,1.018597,0.500000,0.000000,0.000000,0.000000,1.000000,-1.048414,0.841101,1.481104,0.117585,0.096332,0.000000,1.090255,0.026026,0.000000,0.000000,0.933640,0.076255,0.006683,1.000000,0.000000,0.546154,0.188962,1.215263,0.934567,0.011628,0.000000,0.000000,0.000000,-0.734725,-0.127596,1.689652,0.001987,0.000000,1.000000,0.000000,0.000802,0.029558,0.000000,1.467480,0.000000,0.030753,0.000000,0.056591,0.000000,0.726124,0.623153,0.628201,0.000000,0.007852,0.000000,0.000000,-0.967349,-0.446571,2.184264,0.052083,0.000000,0.000000,1.005858,0.125942,0.062419,0.000000,0.000000,0.035079,0.000000,0.000000,0.000000,0.737349,0.000000,0.579859,0.500000,0.060511,0.000000,0.000000,0.000000,-0.419327,0.102208,1.363683,0.124368,0.061721,0.000000,2.271554,0.000000,0.025766,0.000000,0.910424,0.000000,0.000000,0.000000,0.548963,0.000000,0.832481,0.500000,0.890084,0.000000,0.009879,0.000000,0.000000,-0.305282,-0.391824,1.732283,0.000000,0.100490,1.000000,0.000000,0.096078,0.030007,0.000000,2.700088,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.548610,0.763416,0.000000,0.000000,6,0,1,1,0,0,0.399670
0.760411,1.000000,4.000000,6.000000,0.634029,1.000000,1.000000,6.000000,2.784226,-0.306767,1.060590,0.733263,0.062053,0.000000,0.000000,0.000000,0.118562,0.000000,2.193987,0.118180,0.063980,0.000000,0.447329,0.000000,0.000000,1.591327,1.164569,0.070725,0.116845,1.000000,6.000000,-1.121859,0.414109,2.132034,0.671606,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042143,0.000000,0.011348,0.000000,0.000000,1.274272,0.500000,0.015055,0.061575,0.000000,1.000000,0.235998,0.250232,0.313979,0.000000,0.101862,1.000000,0.000000,0.000000,0.063670,1.000000,0.000000,0.094107,0.000000,1.000000,0.635967,0.353247,0.889865,0.957433,1.521336,0.000000,0.000000,0.000000,0.000000,0.575722,-0.345831,0.143445,0.049850,0.118239,0.000000,0.000000,0.149565,0.051075,0.000000,1.638615,0.000000,0.109977,0.000000,0.570311,0.000000,0.316081,1.109329,1.576543,0.041905,0.000000,0.000000,0.000000,-0.068118,0.496078,0.168458,0.000000,0.000000,0.000000,1.849879,0.135043,0.000000,0.000000,0.000000,0.107978,0.000000,0.000000,0.000000,0.000000,0.000000,0.603879,1.738430,0.015723,0.000000,0.000000,0.000000,0.691255,-0.141362,0.668845,0.063647,0.000000,0.000000,0.000000,0.000000,0.090360,0.000000,5.008976,0.079650,0.081505,0.000000,0.210078,0.047982,0.823337,1.665056,0.500000,0.000000,0.000000,0.000000,0.000000,-1.307694,0.868937,1.416841,0.102762,0.000000,0.000000,1.703722,0.000000,0.020920,1.000000,2.662682,0.000000,0.118690,0.000000,0.222443,0.000000,0.000000,1.673330,0.881864,0.000000,0.073970,0.000000,1.000000,-1.246329,-0.479332,2.313061,0.000000,0.000000,1.000000,0.000000,0.000000,0.005180,0.000000,4.393040,0.113724,0.000000,0.000000,0.000000,0.733263,0.000000,1.389385,1.155455,0.000000,0.068571,6,0,1,1,0,0,0.421562
0.789641,1.000000,3.000000,5.000000,0.552349,2.000000,1.000000,5.000000,2.747749,-0.837154,1.420006,0.813588,0.008388,0.000000,0.000000,0.103253,0.013002,0.000000,0.000000,0.000000,0.106275,0.000000,0.000000,0.553326,0.000000,0.500000,0.835512,0.000000,0.086253,1.000000,6.000000,-1.996667,0.232330,1.124010,0.640535,0.000000,0.000000,0.000000,0.000000,0.013470,0.000000,0.000000,0.000000,0.000000,0.000000,0.192799,0.000000,0.000000,1.508110,1.044486,0.000000,0.000000,0.000000,0.000000,0.799840,0.588553,2.183313,0.087354,0.000000,0.000000,0.000000,0.079412,0.048126,0.000000,0.000000,0.011801,0.014339,0.000000,0.000000,0.000000,0.225256,1.276989,0.564201,0.122841,0.109718,0.000000,0.000000,-0.833777,-0.617369,1.322348,0.000000,0.049515,0.000000,0.882255,0.145898,0.094657,0.000000,0.000000,0.050965,0.057385,0.000000,0.701279,0.286151,0.000000,1.425452,0.904541,0.123638,0.000000,0.000000,0.000000,0.285017,-0.189935,0.091794,0.049331,0.000000,0.000000,3.049399,0.000000,0.000000,0.000000,2.305627,0.000000,0.000000,0.000000,0.000000,0.417111,0.000000,1.653329,1.478376,0.000000,0.027486,0.000000,0.000000,1.015168,0.047346,1.762078,0.036820,0.000000,1.000000,3.951153,0.000000,0.107179,0.000000,2.973849,0.011766,0.000000,0.000000,0.405366,0.491287,0.000000,1.221439,1.756905,0.000000,0.117529,0.000000,0.000000,-0.962125,0.360003,2.153051,0.000000,0.130944,0.000000,1.176743,0.120409,0.088922,0.000000,0.000000,0.000000,0.087380,0.000000,0.624497,0.000000,0.234239,0.500000,1.177604,0.000000,0.040425,0.000000,1.000000,-0.401251,0.851441,1.360090,0.125062,0.000000,0.000000,3.084135,0.000000,0.000000,1.000000,0.000000,0.000000,0.012065,1.000000,0.275545,0.000000,0.833203,0.801375,1.130905,0.009571,0.000000,6,0,1,1,0,0,0.253312
